0, 0, 0, 28, 408, 460, 128, 0, 0, 0, 0, 0, 0, 101, 821, 102, 0, 0, 0, 0, 0, 0, 0, 1024
0, 0, 0, 0, 20, 140, 698, 166, 0, 0, 0, 0, 2, 43, 180, 799, 0, 0, 0, 0, 0, 4, 49, 971
0, 0, 0, 3, 252, 670, 92, 7, 0, 0, 0, 50, 388, 481, 97, 8, 0, 0, 1, 177, 572, 130, 99, 45
0, 0, 35, 237, 418, 312, 22, 0, 0, 0, 87, 450, 376, 111, 0, 0, 0, 27, 548, 406, 41, 2, 0, 0
0, 2, 61, 394, 538, 29, 0, 0, 0, 0, 29, 351, 604, 40, 0, 0, 0, 3, 53, 420, 379, 92, 70, 7
53, 724, 158, 88, 1, 0, 0, 0, 3, 299, 482, 137, 101, 2, 0, 0, 1, 342, 397, 45, 70, 85, 80, 4
71, 951, 2, 0, 0, 0, 0, 0, 0, 854, 170, 0, 0, 0, 0, 0, 2, 890, 132, 0, 0, 0, 0, 0
247, 585, 0, 0, 0, 0, 0, 0, 23, 782, 27, 0, 0, 0, 0, 0, 66, 759, 7, 0, 0, 0, 0, 0
0, 0, 0, 0, 34, 564, 426, 0, 0, 0, 0, 0, 0, 0, 690, 334, 0, 0, 0, 0, 0, 0, 0, 1024
0, 0, 0, 0, 6, 62, 723, 233, 0, 0, 0, 0, 1, 11, 122, 890, 0, 0, 0, 0, 0, 1, 19, 1004
0, 0, 0, 18, 501, 412, 78, 15, 0, 0, 1, 121, 661, 133, 56, 52, 0, 0, 13, 546, 260, 69, 58, 78
0, 17, 131, 180, 315, 289, 92, 0, 1, 13, 132, 323, 326, 215, 14, 0, 6, 140, 296, 478, 96, 8, 0, 0
0, 11, 121, 597, 283, 11, 1, 0, 0, 0, 27, 482, 332, 163, 20, 0, 0, 1, 72, 279, 258, 142, 158, 114
103, 738, 160, 23, 0, 0, 0, 0, 18, 279, 541, 147, 37, 2, 0, 0, 32, 321, 383, 70, 94, 105, 19, 0
23, 1001, 0, 0, 0, 0, 0, 0, 0, 587, 437, 0, 0, 0, 0, 0, 0, 619, 405, 0, 0, 0, 0, 0
89, 743, 0, 0, 0, 0, 0, 0, 0, 766, 66, 0, 0, 0, 0, 0, 0, 767, 65, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 544, 480, 0, 0, 0, 0, 0, 0, 0, 640, 384, 0, 0, 0, 0, 0, 0, 0, 1024
0, 0, 0, 0, 0, 0, 272, 752, 0, 0, 0, 0, 0, 0, 0, 1024, 0, 0, 0, 0, 0, 0, 0, 1024
0, 0, 0, 38, 217, 489, 104, 176, 0, 0, 3, 87, 516, 205, 37, 176, 0, 1, 33, 298, 421, 66, 27, 178
0, 0, 43, 173, 361, 235, 200, 12, 0, 0, 47, 294, 379, 252, 52, 0, 0, 75, 227, 576, 143, 3, 0, 0
2, 31, 80, 240, 387, 197, 57, 30, 0, 0, 14, 97, 190, 401, 270, 52, 0, 0, 9, 30, 86, 115, 198, 586
50, 817, 120, 36, 1, 0, 0, 0, 6, 350, 519, 82, 57, 10, 0, 0, 13, 396, 352, 75, 63, 60, 43, 22
25, 984, 15, 0, 0, 0, 0, 0, 0, 469, 555, 0, 0, 0, 0, 0, 0, 510, 514, 0, 0, 0, 0, 0
47, 782, 3, 0, 0, 0, 0, 0, 1, 706, 125, 0, 0, 0, 0, 0, 1, 730, 101, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 512, 512, 0, 0, 0, 0, 0, 0, 0, 545, 479, 0, 0, 0, 0, 0, 0, 0, 1024
0, 0, 0, 0, 0, 0, 256, 768, 0, 0, 0, 0, 0, 0, 0, 1024, 0, 0, 0, 0, 0, 0, 0, 1024
0, 0, 2, 80, 330, 304, 74, 234, 0, 0, 8, 168, 474, 106, 20, 248, 0, 0, 61, 420, 247, 30, 15, 251
0, 2, 93, 408, 261, 106, 103, 51, 0, 5, 141, 483, 184, 148, 63, 0, 2, 138, 397, 375, 93, 17, 2, 0
0, 1, 12, 276, 485, 137, 63, 50, 0, 0, 0, 20, 90, 606, 233, 75, 0, 0, 0, 18, 30, 41, 198, 737
60, 622, 207, 135, 0, 0, 0, 0, 3, 215, 493, 111, 160, 42, 0, 0, 3, 272, 334, 57, 62, 98, 122, 76
7, 1009, 8, 0, 0, 0, 0, 0, 0, 256, 768, 0, 0, 0, 0, 0, 0, 444, 580, 0, 0, 0, 0, 0
52, 773, 7, 0, 0, 0, 0, 0, 1, 642, 189, 0, 0, 0, 0, 0, 1, 691, 140, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 544, 480, 0, 0, 0, 0, 0, 0, 0, 640, 384, 0, 0, 0, 0, 0, 0, 0, 1024
0, 0, 0, 0, 0, 0, 256, 768, 0, 0, 0, 0, 0, 0, 0, 1024, 0, 0, 0, 0, 0, 0, 0, 1024
0, 0, 0, 18, 335, 338, 90, 243, 0, 0, 0, 82, 483, 130, 60, 269, 0, 0, 6, 395, 271, 29, 36, 287
0, 1, 24, 281, 453, 165, 91, 9, 0, 1, 32, 407, 385, 169, 30, 0, 3, 71, 348, 456, 113, 17, 16, 0
0, 1, 20, 350, 563, 87, 3, 0, 0, 0, 0, 22, 294, 650, 58, 0, 0, 0, 1, 22, 142, 222, 154, 483
41, 643, 229, 111, 0, 0, 0, 0, 0, 282, 403, 113, 181, 45, 0, 0, 2, 341, 241, 61, 77, 77, 146, 79
5, 997, 22, 0, 0, 0, 0, 0, 0, 344, 680, 0, 0, 0, 0, 0, 0, 547, 477, 0, 0, 0, 0, 0
14, 817, 1, 0, 0, 0, 0, 0, 0, 658, 174, 0, 0, 0, 0, 0, 0, 704, 128, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 641, 383, 0, 0, 0, 0, 0, 0, 0, 725, 299, 0, 0, 0, 0, 0, 0, 0, 1024
0, 0, 0, 0, 0, 0, 336, 688, 0, 0, 0, 0, 0, 0, 0, 1024, 0, 0, 0, 0, 0, 0, 0, 1024
0, 0, 1, 52, 297, 292, 71, 311, 0, 0, 2, 110, 486, 115, 14, 297, 0, 0, 70, 383, 243, 21, 16, 291
0, 0, 33, 192, 469, 272, 54, 4, 0, 1, 40, 405, 423, 126, 28, 1, 2, 43, 361, 487, 66, 17, 36, 12
0, 0, 2, 327, 302, 350, 43, 0, 0, 0, 0, 0, 6, 525, 482, 11, 0, 0, 0, 0, 0, 1, 68, 955
34, 442, 353, 195, 0, 0, 0, 0, 0, 133, 341, 155, 353, 42, 0, 0, 1, 198, 197, 38, 58, 130, 256, 146
4, 1002, 16, 2, 0, 0, 0, 0, 0, 314, 704, 6, 0, 0, 0, 0, 0, 631, 390, 3, 0, 0, 0, 0
26, 804, 2, 0, 0, 0, 0, 0, 0, 578, 254, 0, 0, 0, 0, 0, 1, 757, 74, 0, 0, 0, 0, 0
0, 0, 0, 0, 78, 726, 220, 0, 0, 0, 0, 0, 0, 0, 845, 179, 0, 0, 0, 0, 0, 0, 0, 1024
0, 0, 0, 0, 0, 0, 509, 515, 0, 0, 0, 0, 0, 0, 0, 1024, 0, 0, 0, 0, 0, 0, 0, 1024
0, 0, 0, 45, 455, 266, 27, 231, 0, 0, 0, 166, 559, 50, 17, 232, 0, 0, 42, 461, 260, 19, 11, 231
0, 1, 21, 271, 534, 173, 23, 1, 0, 1, 50, 587, 333, 50, 3, 0, 0, 51, 491, 464, 16, 2, 0, 0
0, 5, 20, 404, 529, 66, 0, 0, 0, 0, 0, 18, 146, 687, 173, 0, 0, 0, 1, 12, 45, 65, 176, 725
110, 568, 265, 81, 0, 0, 0, 0, 27, 366, 287, 138, 192, 14, 0, 0, 16, 340, 229, 49, 60, 117, 177, 36
7, 978, 39, 0, 0, 0, 0, 0, 0, 397, 627, 0, 0, 0, 0, 0, 0, 588, 436, 0, 0, 0, 0, 0
50, 778, 4, 0, 0, 0, 0, 0, 0, 705, 127, 0, 0, 0, 0, 0, 1, 782, 49, 0, 0, 0, 0, 0
0, 0, 0, 0, 304, 688, 32, 0, 0, 0, 0, 0, 0, 0, 1007, 17, 0, 0, 0, 0, 0, 0, 0, 1024
0, 0, 0, 0, 0, 9, 665, 350, 0, 0, 0, 0, 0, 0, 47, 977, 0, 0, 0, 0, 0, 0, 0, 1024
